Year of Car,Make of car,Model,Price of car,Location of car,Kilometers,Diesel/Petrol,Body-type,Owner
2017,Maruti Suzuki,DZIRE ZXI PLUS,7.15 Lakhs,Delhi,"21,000 Kms",Petrol,Sedan,1st Owner
2017,Hyundai,I20(2015_2017) MAGNA...,5.75 Lakhs,Ghaziabad,"52,000 Kms",Petrol,Hatchback,1st Owner
2016,Maruti Suzuki,WAGON R 1.0 VXI,3.75 Lakhs,Delhi,"31,000 Kms",Petrol,Hatchback,1st Owner
2015,Hyundai,EON ERA PLUS,2.7 Lakhs,Delhi,"76,000 Kms",Petrol,Hatchback,1st Owner
2014,Maruti Suzuki,WAGON R 1.0 VXI,3.35 Lakhs,Delhi,"28,000 Kms",Petrol,Hatchback,1st Owner
2013,Honda,CITY 1.5 V MT,4.95 Lakhs,Delhi,"58,000 Kms",Petrol,Sedan,1st Owner
2013,Maruti Suzuki,WAGON R LXI,3.25 Lakhs,Noida,"32,008 Kms",Petrol,Hatchback,1st Owner
2012,Hyundai,EON D LITE,2.25 Lakhs,Ghaziabad,"49,847 Kms",Petrol,Hatchback,1st Owner
2011,Hyundai,I10 MAGNA 1.2,2.75 Lakhs,Ghaziabad,"26,516 Kms",Petrol,Hatchback,1st Owner
2017,Maruti Suzuki,CIAZ ZDI PLUS SHVS R...,7.5 Lakhs,Delhi,"68,000 Kms",Diesel,Sedan,1st Owner
2016,Maruti Suzuki,CIAZ ZXI MT,6.65 Lakhs,Delhi,"41,000 Kms",Petrol,Sedan,1st Owner
2015,Maruti Suzuki,SWIFT(2014_2018) ZXI,4.85 Lakhs,Delhi,"49,714 Kms",Petrol,Hatchback,1st Owner
2011,Hyundai,I10 MAGNA 1.2,2.9 Lakhs,Delhi,"26,516 Kms",Petrol,Hatchback,1st Owner
2017,Toyota,FORTUNER 2.8 4WD MT,26.5 Lakhs,Delhi,"60,000 Kms",Diesel,SUV,1st Owner
2017,Maruti Suzuki,CELERIO ZXI A/T,4.65 Lakhs,Delhi,"32,000 Kms",Petrol,Hatchback,1st Owner
2016,Maruti Suzuki,CIAZ VDI PLUS MT SHV...,6.5 Lakhs,Delhi,"21,000 Kms",Diesel,Sedan,1st Owner
2016,Maruti Suzuki,CIAZ VDI PLUS MT SHV...,66.5 Lakhs,Delhi,"40,449 Kms",Diesel,Sedan,1st Owner
2016,Mahindra,SCORPIO S8 1.99,9.85 Lakhs,Delhi,"50,000 Kms",Diesel,SUV,1st Owner
2015,Maruti Suzuki,SWIFT DZIRE AUTOMATI...,5.5 Lakhs,Delhi,"19,800 Kms",Petrol,Sedan,1st Owner
2013,Toyota,FORTUNER 3.0 AT 4X2,13.75 Lakhs,Delhi,"72,000 Kms",Diesel,SUV,1st Owner
2019,Jeep,COMPASS LIMITED PLUS...,18.5 Lakhs,Delhi,"15,000 Kms",Diesel,SUV,1st Owner
2019,Maruti Suzuki,ERTIGA ZDI PLUS SHVS,10.75 Lakhs,Delhi,"24,500 Kms",Diesel,MPV,1st Owner
2018,Ford,ECOSPORT TITANIUM + ...,8.9 Lakhs,Delhi,"24,770 Kms",Petrol,SUV,2nd Owner
2016,Honda,JAZZ 1.2 V I VTEC,5.85 Lakhs,Ghaziabad,"65,000 Kms",Petrol,Hatchback,1st Owner
2016,Toyota,INNOVA CRYSTA 2.4 VX...,14.9 Lakhs,Delhi,"59,000 Kms",Diesel,MPV,1st Owner
2016,Ford,ENDEAVOUR TITANIUM 2...,24.5 Lakhs,Delhi,"55,000 Kms",Diesel,SUV,1st Owner
2016,Maruti Suzuki,CIAZ VDI PLUS MT SHV...,6.75 Lakhs,Delhi,"26,000 Kms",Diesel,Sedan,1st Owner
2014,Skoda,RAPID ELEGANCE 1.6 M...,5.75 Lakhs,Delhi,"68,000 Kms",Petrol,Sedan,1st Owner
2012,Hyundai,I10 MAGNA 1.1 LPG,2.9 Lakhs,Ghaziabad,"44,000 Kms",Petrol,Hatchback,1st Owner
2019,Mahindra,SCORPIO S7 140 2WD,13.75 Lakhs,Faridabad,"21,700 Kms",Diesel,SUV,1st Owner
2018,Honda,AMAZE 1.2 V AT I-VTE...,6.95 Lakhs,Faridabad,"42,000 Kms",Petrol,Sedan,1st Owner
2017,Maruti Suzuki,SWIFT DZIRE ZDI,6.65 Lakhs,Delhi,"41,000 Kms",Diesel,Sedan,1st Owner
2016,Honda,JAZZ 1.2 V I VTEC,5.85 Lakhs,Delhi,"60,290 Kms",Petrol,Hatchback,1st Owner
2016,Hyundai,ELITE I20 MAGNA EXEC...,5.55 Lakhs,Noida,"54,204 Kms",Petrol,Hatchback,1st Owner
2016,Hyundai,ELITE I20 MAGNA EXEC...,5.55 Lakhs,Noida,"60,000 Kms",Petrol,Hatchback,1st Owner
2015,Hyundai,ELITE I20 SPORTZ 1.2,5.35 Lakhs,Noida,"63,378 Kms",Petrol,Hatchback,1st Owner
2015,Hyundai,ELITE I20 SPORTZ 1.2,5.35 Lakhs,Noida,"63,000 Kms",Petrol,Hatchback,1st Owner
2014,Honda,AMAZE 1.2 SMT I VTEC,4.25 Lakhs,Delhi,"42,177 Kms",Petrol,Sedan,1st Owner
2012,Maruti Suzuki,SWIFT LXI 1.2 BS IV,3.5 Lakhs,Ghaziabad,"77,393 Kms",Petrol,Hatchback,2nd Owner
2017,Toyota,COROLLA ALTIS 1.8 G,11.49 Lakhs,Noida,"45,000 Kms",Petrol,Sedan,1st Owner
2017,Toyota,COROLLA ALTIS 1.8 G,11.49 Lakhs,Noida,"45,000 Kms",Petrol,Sedan,1st Owner
2015,Hyundai,ELITE I20 ASTA 1.2 O,5.47 Lakhs,Noida,"64,000 Kms",Petrol,Hatchback,1st Owner
2015,Hyundai,ELITE I20 ASTA 1.2 O,5.47 Lakhs,Noida,"64,000 Kms",Petrol,Hatchback,1st Owner
2013,Maruti Suzuki,WAGON R LXI,3.25 Lakhs,Noida,"37,620 Kms",Petrol,Hatchback,1st Owner
2012,Hyundai,I10 SPORTZ 1.2 KAPPA...,3.3 Lakhs,Noida,"70,000 Kms",Petrol,Hatchback,1st Owner
2012,Hyundai,I10 SPORTZ 1.2 KAPPA...,3.3 Lakhs,Noida,"70,348 Kms",Petrol,Hatchback,1st Owner
2017,Renault,KWID(2015_2019) 1.0 ...,3.85 Lakhs,Delhi,"40,000 Kms",Petrol,Hatchback,1st Owner
2016,Hyundai,XCENT SX 1.2,4.25 Lakhs,Delhi,"39,175 Kms",Petrol,Sedan,1st Owner
2014,Mahindra,XUV500 W8,7.15 Lakhs,Gurgaon,"67,733 Kms",Diesel,SUV,1st Owner
2019,Hyundai,CRETA SX 1.6 (O) PET...,12.85 Lakhs,Delhi,"16,000 Kms",Petrol,SUV,1st Owner
2019,Maruti Suzuki,ALTO 800 LXI,3.5 Lakhs,Ghaziabad,"13,220 Kms",Petrol,Hatchback,1st Owner
2018,Tata,NEXON XZ PLUS,8.9 Lakhs,Delhi,"15,000 Kms",Petrol,Hatchback,1st Owner
2017,Honda,JAZZ 1.2 V AT I VTEC,6.75 Lakhs,Delhi,"35,000 Kms",Petrol,Hatchback,1st Owner
2016,Maruti Suzuki,BALENO DELTA (A/T),5.7 Lakhs,Delhi,"22,680 Kms",Petrol,Hatchback,1st Owner
2016,Toyota,CAMRY HYBRID,21 Lakhs,Delhi,"75,000 Kms",Petrol,Sedan,1st Owner
2015,Hyundai,I20 ACTIVE 1.4 S,5.65 Lakhs,Delhi,"69,000 Kms",Diesel,Hatchback,1st Owner
2015,Mahindra,SCORPIO S10,8.75 Lakhs,Gurgaon,"71,114 Kms",Diesel,SUV,1st Owner
2015,Hyundai,GRAND I10 MAGNA 1.2 ...,4.1 Lakhs,Faridabad,"45,624 Kms",Petrol,Hatchback,1st Owner
2015,Hyundai,GRAND I10 MAGNA 1.2 ...,4.1 Lakhs,Faridabad,"45,624 Kms",Petrol,Hatchback,1st Owner
2020,Honda,CITY VX MT PETROL,14 Lakhs,Delhi,"1,800 Kms",Petrol,Sedan,1st Owner
2018,Maruti Suzuki,SWIFT DZIRE VDI,6.95 Lakhs,Delhi,"32,000 Kms",Diesel,Sedan,1st Owner
2016,Skoda,OCTAVIA ONYX EDITION...,11.5 Lakhs,Delhi,"50,000 Kms",Petrol,Sedan,1st Owner
2018,Ford,ECOSPORT TITANIUM + ...,8.85 Lakhs,Delhi,"39,539 Kms",Diesel,SUV,1st Owner
2015,Honda,JAZZ 1.2 V I VTEC,4.85 Lakhs,Delhi,"19,000 Kms",Petrol,Hatchback,1st Owner
2018,Ford,FIGO ASPIRE TITANIUM...,6.75 Lakhs,Faridabad,"55,000 Kms",Diesel,Sedan,1st Owner
2018,Ford,ASPIRE TITANIUM 1.5 ...,6.75 Lakhs,Faridabad,"56,821 Kms",Diesel,Sedan,1st Owner
2016,Honda,AMAZE 1.2 EXMT I VTE...,4.75 Lakhs,Delhi,"40,000 Kms",CNG,Sedan,1st Owner
2011,Honda,CITY 1.5 E MT,4.15 Lakhs,Delhi,"45,000 Kms",Petrol,Sedan,1st Owner
2020,Maruti Suzuki,IGNIS ZETA 1.2 MT,6.1 Lakhs,Delhi,"5,214 Kms",Petrol,Hatchback,1st Owner
2020,Maruti Suzuki,SWIFT LXI,5.65 Lakhs,Ghaziabad,"6,212 Kms",Petrol,Hatchback,1st Owner
2020,Maruti Suzuki,SWIFT LXI 1.2 BS IV,5.9 Lakhs,Ghaziabad,"8,866 Kms",Petrol,Hatchback,1st Owner
2018,Honda,JAZZ 1.2 VX I VTEC,6.35 Lakhs,Noida,"33,903 Kms",Petrol,Hatchback,1st Owner
2018,Hyundai,ELITE I20 SPORTZ 1.4,6.5 Lakhs,Faridabad,"33,000 Kms",Diesel,Hatchback,1st Owner
2016,Maruti Suzuki,SWIFT VXI,4.9 Lakhs,Delhi,"23,000 Kms",Petrol,Hatchback,1st Owner
2017,Renault,KWID RXL,3.25 Lakhs,Faridabad,"14,900 Kms",Petrol,Hatchback,1st Owner
2017,Ford,FIGO TITANIUM 1.2,5.1 Lakhs,Faridabad,"26,900 Kms",Petrol,Hatchback,1st Owner
2017,Renault,KWID RXL,2.95 Lakhs,Faridabad,"14,900 Kms",Petrol,Hatchback,1st Owner
2017,Ford,FIGO TITANIUM 1.2,5.1 Lakhs,Faridabad,"26,900 Kms",Petrol,Hatchback,1st Owner
2018,Honda,JAZZ 1.2 VX I VTEC,6.35 Lakhs,Noida,"33,000 Kms",Petrol,Hatchback,1st Owner
2012,Honda,CITY 1.5 E MT,4.5 Lakhs,Delhi,"20,000 Kms",Petrol,Sedan,1st Owner
2019,Hyundai,CRETA 1.6 VTVT S,13 Lakhs,Delhi,"9,515 Kms",Petrol,CompactSUV,1st Owner
2017,Volkswagen,AMEO COMFORTLINE PET...,4.95 Lakhs,Delhi,"40,342 Kms",Petrol,Sedan,1st Owner
2017,Mahindra,TUV 300 T8 AMT,8.5 Lakhs,Delhi,"17,000 Kms",Diesel,SUV,1st Owner
2013,Volkswagen,VENTO TRENDLINE PETR...,3.95 Lakhs,Gurgaon,"47,497 Kms",Petrol,Sedan,1st Owner
2019,Renault,KWID RXL,3.7 Lakhs,Gurgaon,"24,000 Kms",Petrol,Hatchback,1st Owner
2018,Honda,CITY VX MT PETROL,8.95 Lakhs,Delhi,"38,253 Kms",Petrol,Sedan,1st Owner
2016,Renault,KWID RXT,2.95 Lakhs,Noida,"12,000 Kms",Petrol,Hatchback,1st Owner
2016,Honda,CITY 1.5 S MT,5.95 Lakhs,Gurgaon,"50,935 Kms",Petrol,Sedan,1st Owner
2015,Maruti Suzuki,SWIFT(2014_2018) LXI,3.99 Lakhs,Delhi,"60,720 Kms",Petrol,Hatchback,1st Owner
2014,Hyundai,VERNA 1.6 VTVT SX,4.99 Lakhs,Delhi,"60,787 Kms",Petrol,Sedan,1st Owner
2019,Volkswagen,AMEO HIGHLINE PLUS 1...,5.75 Lakhs,Ghaziabad,"19,212 Kms",Petrol,Sedan,1st Owner
2014,Hyundai,XCENT 1.2 KAPPA DUAL...,3.95 Lakhs,Gurgaon,"49,143 Kms",Petrol,Sedan,2nd Owner
2018,Datsun,REDI GO A,3.25 Lakhs,Noida,"44,000 Kms",Petrol,Hatchback,1st Owner
2014,Maruti Suzuki,ERTIGA VXI,5.75 Lakhs,Delhi,"45,000 Kms",Petrol,MUV,1st Owner
2018,Maruti Suzuki,BALENO ALPHA,6.95 Lakhs,Gurgaon,"46,000 Kms",Petrol,Hatchback,1st Owner
2020,Honda,CITY SV MT PETROL,9.65 Lakhs,Delhi,"16,471 Kms",Petrol,Sedan,1st Owner
2017,Renault,DUSTER RXZ DIESEL 11...,8.95 Lakhs,Gurgaon,"31,000 Kms",Diesel,SUV,1st Owner
2016,Hyundai,I20 ASTA 1.4 CRDI,6.85 Lakhs,Gurgaon,"77,000 Kms",Diesel,Hatchback,2nd Owner
2012,Maruti Suzuki,ZEN ESTILO LXI CNG B...,2.5 Lakhs,Gurgaon,"60,000 Kms",CNG  CNG Kit,Hatchback,1st Owner
2019,Renault,TRIBER RXZ,5.95 Lakhs,Noida,"19,000 Kms",Petrol,MPV,1st Owner
2019,Ford,ECOSPORT TITANIUM 1....,11.25 Lakhs,Noida,"12,710 Kms",Petrol,SUV,1st Owner
2018,Tata,TIAGO NRG PETROL,4.65 Lakhs,Noida,"46,000 Kms",Petrol,Hatchback,1st Owner
2015,Hyundai,XCENT S 1.2,4.15 Lakhs,Noida,"61,000 Kms",Petrol,Sedan,1st Owner
2017,Hyundai,GRAND I10 SPORTZ AT ...,5.75 Lakhs,Delhi,"38,800 Kms",Petrol,Hatchback,1st Owner
2013,Hyundai,EON ERA PLUS,2.45 Lakhs,Delhi,"20,000 Kms",Petrol,Hatchback,2nd Owner
2013,Hyundai,EON ERA PLUS,2.45 Lakhs,Ghaziabad,"20,000 Kms",Petrol,Hatchback,1st Owner
2018,Datsun,REDI GO A,3.25 Lakhs,Noida,"44,000 Kms",Petrol,Hatchback,1st Owner
2016,Datsun,REDI GO T,2.5 Lakhs,Delhi,"34,310 Kms",Petrol,Hatchback,1st Owner
2016,Hyundai,GRAND I10 MAGNA 1.2 ...,4.75 Lakhs,Noida,"40,079 Kms",Petrol,Hatchback,1st Owner
2015,Volkswagen,VENTO HIGHLINE PETRO...,6.45 Lakhs,Noida,"25,000 Kms",Petrol,Sedan,1st Owner
2014,Renault,DUSTER RXL,4.45 Lakhs,Delhi,"57,000 Kms",Petrol,SUV,1st Owner
2011,Toyota,COROLLA ALTIS 1.8 G,4.25 Lakhs,Faridabad,"70,000 Kms",Petrol,Sedan,2nd Owner
2019,Maruti Suzuki,BALENO ALPHA,8 Lakhs,Ghaziabad,"20,000 Kms",Petrol,Hatchback,1st Owner
2015,Maruti Suzuki,ALTO K10 VXI,3.05 Lakhs,Faridabad,"70,580 Kms",Petrol,Hatchback,1st Owner
2013,Hyundai,I10 ERA 1.1 1RDE2,2.65 Lakhs,Faridabad,"71,905 Kms",Petrol,Hatchback,1st Owner
2013,Hyundai,I10 ERA 1.1 1RDE2,2.65 Lakhs,Faridabad,"71,906 Kms",Petrol,Hatchback,1st Owner
2018,Tata,TIAGO XT,5.3 Lakhs,Delhi,34 Kms,Diesel,Hatchback,1st Owner
2017,Tata,TIAGO XT,5.3 Lakhs,Delhi,25 Kms,Petrol,Hatchback,1st Owner
2016,Toyota,COROLLA ALTIS 1.8 VL...,9.85 Lakhs,Delhi,"65,000 Kms",Petrol,Sedan,1st Owner
2015,Maruti Suzuki,ALTO K10 VXI,3.05 Lakhs,Faridabad,"70,580 Kms",Petrol,Hatchback,1st Owner
2018,Maruti Suzuki,VITARA BREZZA LDI,6.6 Lakhs,Gurgaon,"54,000 Kms",Diesel,Hatchback,1st Owner
2017,Maruti Suzuki,WAGON R 1.0 LXI CNG,3.9 Lakhs,Ghaziabad,"48,000 Kms",CNG  CNG Kit,Hatchback,1st Owner
2016,Maruti Suzuki,CELERIO ZXI A/T,4.55 Lakhs,Faridabad,"27,010 Kms",Petrol,Hatchback,1st Owner
2016,Maruti Suzuki,CELERIO ZXI A/T,4.55 Lakhs,Faridabad,"27,024 Kms",Petrol,Hatchback,1st Owner
2016,Maruti Suzuki,RITZ LXI BS IV,3 Lakhs,Delhi,"90,000 Kms",Petrol,Hatchback,1st Owner
2015,Maruti Suzuki,WAGON R 1.0 VXI,3.5 Lakhs,Gurgaon,"22,000 Kms",Petrol,Hatchback,1st Owner
2014,Hyundai,I10 MAGNA 1.1 IRDE2,3.15 Lakhs,Faridabad,"31,628 Kms",Petrol,Hatchback,1st Owner
2014,Hyundai,I10 MAGNA 1.1 IRDE2,3.15 Lakhs,Faridabad,"31,613 Kms",Petrol,Hatchback,1st Owner
2014,Maruti Suzuki,ALTO 800 LXI,2.55 Lakhs,Gurgaon,"19,440 Kms",Petrol,Hatchback,1st Owner
2014,Hyundai,GRAND I10 1.2 KAPPA ...,3.85 Lakhs,Gurgaon,"52,400 Kms",Petrol,Hatchback,1st Owner
2013,Hyundai,SANTRO XING GLS,2.1 Lakhs,Delhi,"80,000 Kms",Petrol,Hatchback,1st Owner
2013,Hyundai,I10 MAGNA 1.2 KAPPA2,2.85 Lakhs,Faridabad,"78,562 Kms",Petrol,Hatchback,1st Owner
2013,Hyundai,I10 MAGNA 1.2,3.4 Lakhs,Gurgaon,"52,000 Kms",Petrol  CNG Kit,Hatchback,1st Owner
2013,Hyundai,I10 MAGNA 1.2 KAPPA2,2.85 Lakhs,Faridabad,"78,562 Kms",Petrol,Hatchback,1st Owner
2011,Volkswagen,JETTA 2.0 TDI HIGHLI...,4 Lakhs,Delhi,1.01 Lakhs Kms,Diesel,Sedan,1st Owner
2016,Datsun,REDI GO S,2.25 Lakhs,Gurgaon,"59,150 Kms",Petrol,Hatchback,1st Owner
2020,Jeep,COMPASS LONGITUDE O ...,20.9 Lakhs,Gurgaon,"14,000 Kms",Petrol,SUV,1st Owner
2018,Tata,NEXON XZA PLUS PETRO...,9.45 Lakhs,Delhi,"20,235 Kms",Petrol,Hatchback,1st Owner
2018,Toyota,INNOVA CRYSTA 2.7 GX...,16.75 Lakhs,Delhi,"41,043 Kms",Petrol,MPV,1st Owner
2018,Maruti Suzuki,VITARA BREZZA ZDI AG...,8.6 Lakhs,Delhi,"55,164 Kms",Diesel,SUV,1st Owner
2017,Maruti Suzuki,CIAZ SIGMA 1.4 MT,6.65 Lakhs,Noida,"70,000 Kms",Petrol,Sedan,2nd Owner
2014,Hyundai,GRAND I10 1.2 KAPPA ...,3.5 Lakhs,Delhi,"61,176 Kms",Petrol,Hatchback,2nd Owner
2012,Honda,BRIO S MT,3.25 Lakhs,Noida,"48,000 Kms",Petrol,Hatchback,1st Owner
2019,Ford,ECOSPORT TITANIUM 1....,9.9 Lakhs,Gurgaon,"8,213 Kms",Diesel,SUV,1st Owner
2016,Hyundai,GRAND I10 MAGNA 1.2 ...,5.75 Lakhs,Ghaziabad,"32,000 Kms",Petrol  CNG Kit,Hatchback,1st Owner
2018,Maruti Suzuki,BALENO ALPHA,6.95 Lakhs,Gurgaon,"38,000 Kms",Petrol,Hatchback,1st Owner
2017,Maruti Suzuki,WAGON R 1.0 LXI,3.9 Lakhs,Gurgaon,"12,000 Kms",Petrol,Hatchback,1st Owner
2014,Hyundai,I10 SPORTZ 1.2 KAPPA...,3.25 Lakhs,Gurgaon,"32,000 Kms",Petrol,Hatchback,1st Owner
2014,Maruti Suzuki,WAGON R 1.0 VXI,3.4 Lakhs,Gurgaon,"28,000 Kms",Petrol,Hatchback,1st Owner
2013,Hyundai,EON MAGNA + O,2.45 Lakhs,Gurgaon,"34,000 Kms",Petrol,Hatchback,1st Owner
2016,Hyundai,EON ERA,2.65 Lakhs,Gurgaon,"49,810 Kms",Petrol,Hatchback,1st Owner
2019,Kia,SELTOS HTK 1.5,8.25 Lakhs,Faridabad,"68,100 Kms",Petrol,SUV,1st Owner
2018,Maruti Suzuki,DZIRE(2017_2020) VXI,5.7 Lakhs,Delhi,"72,616 Kms",Petrol,Sedan,1st Owner
2016,Hyundai,I10 MAGNA 1.2,3.75 Lakhs,Ghaziabad,"24,970 Kms",Petrol,Hatchback,1st Owner
2015,Honda,CITY VX CVT PETROL,7.75 Lakhs,Ghaziabad,"52,000 Kms",Petrol,Sedan,1st Owner
2015,Honda,AMAZE 1.2 SMT I VTEC,5 Lakhs,Ghaziabad,"36,071 Kms",Petrol,Sedan,1st Owner
2018,Maruti Suzuki,VITARA BREZZA ZDI+,7.25 Lakhs,Delhi,1.04 Lakhs Kms,Diesel,Hatchback,1st Owner
2017,Maruti Suzuki,CIAZ DELTA 1.4 MT,6.65 Lakhs,Noida,"70,000 Kms",Petrol,Sedan,2nd Owner
2020,Honda,AMAZE 1.2 SMT I VTEC,7 Lakhs,Gurgaon,"6,000 Kms",Petrol,Sedan,1st Owner
2018,Hyundai,CRETA SX 1.6 AT PETR...,12.49 Lakhs,Noida,"40,000 Kms",Petrol,SUV,1st Owner
2018,Hyundai,CRETA SX 1.6 AT PETR...,12.49 Lakhs,Noida,"40,000 Kms",Petrol,SUV,1st Owner
2012,Honda,BRIO S MT,3.25 Lakhs,Noida,"48,000 Kms",Petrol,Hatchback,1st Owner
2014,Maruti Suzuki,SWIFT VDI,4.9 Lakhs,Gurgaon,"55,400 Kms",Diesel,Hatchback,1st Owner
2008,Maruti Suzuki,WAGON R LX MINOR,"85,000",Faridabad,"90,000 Kms",Petrol,Hatchback,2nd Owner
2010,Hyundai,SANTRO XING GLS,1.5 Lakhs,Gurgaon,"88,000 Kms",Petrol,Hatchback,1st Owner
2009,Maruti Suzuki,WAGON R VXI MINOR,1.1 Lakhs,Delhi,"88,000 Kms",Petrol,Hatchback,1st Owner
2018,Maruti Suzuki,WAGON R 1.0 VXI,3.5 Lakhs,Delhi,"62,000 Kms",Petrol,Hatchback,1st Owner
2013,Mahindra,VERITO 1.5 D2 BS IV,3.35 Lakhs,Faridabad,"95,000 Kms",Diesel,Sedan,1st Owner
2013,Hyundai,I20 SPORTZ 1.2 O,NO PRICE,Noida,1.11 Lakhs Kms,Petrol,Hatchback,1st Owner
2016,Hyundai,CRETA 1.6 VTVT S,8.5 Lakhs,Delhi,"52,000 Kms",Petrol,CompactSUV,1st Owner
2017,Maruti Suzuki,CIAZ ZETA 1.4 AT,7.95 Lakhs,Noida,"35,000 Kms",Petrol,Sedan,1st Owner
2016,Mahindra,XUV 500 W10,11.85 Lakhs,Noida,"35,000 Kms",Diesel,SUV,1st Owner
2015,Honda,CITY SV CVT PETROL,6.75 Lakhs,Delhi,"73,097 Kms",Petrol,Sedan,1st Owner
2015,Honda,CITY VX CVT PETROL,6.95 Lakhs,Delhi,"84,038 Kms",Petrol,Sedan,1st Owner
2018,Maruti Suzuki,VITARA BREZZA VDI,7 Lakhs,Ghaziabad,"65,000 Kms",Diesel,Hatchback,1st Owner
2010,Hyundai,SANTRO XING GLS,1.35 Lakhs,Ghaziabad,"65,000 Kms",Petrol,Hatchback,1st Owner
2019,Renault,KWID RXL,3.9 Lakhs,Noida,"27,000 Kms",Petrol,Hatchback,1st Owner
2019,Renault,KWID RXL,4 Lakhs,Noida,"27,000 Kms",Petrol,Hatchback,1st Owner
2016,Tata,TIAGO REVOTRON XZ,5.25 Lakhs,Noida,"1,673 Kms",Petrol,Hatchback,1st Owner
2017,Maruti Suzuki,CIAZ ZETA 1.4 AT,7.95 Lakhs,Noida,"39,000 Kms",Petrol,Sedan,1st Owner
2016,Mahindra,XUV 500 W10 AT FWD,11.85 Lakhs,Noida,"36,000 Kms",Diesel,SUV,1st Owner
2015,Maruti Suzuki,CIAZ VXI MT,5.95 Lakhs,Noida,"73,000 Kms",Petrol  CNG Kit,Sedan,1st Owner
2014,Hyundai,I10 MAGNA 1.1 IRDE2,3.45 Lakhs,Noida,"49,198 Kms",Petrol,Hatchback,1st Owner
2013,Hyundai,EON ERA,2.65 Lakhs,Noida,"40,000 Kms",Petrol,Hatchback,1st Owner
2012,Honda,CITY 1.5 V AT,4.45 Lakhs,Gurgaon,"70,000 Kms",Petrol,Sedan,2nd Owner
2018,Mahindra,SCORPIO S11 2WD,14.75 Lakhs,Faridabad,"25,500 Kms",Diesel,SUV,1st Owner
2016,Mahindra,XUV 500 W10,7.5 Lakhs,Delhi,"45,739 Kms",Diesel,SUV,1st Owner
2018,Honda,CITY 1.5 V MT,8.75 Lakhs,Delhi,"50,937 Kms",Petrol,Sedan,1st Owner
2012,Hyundai,SONATA 2.4 GDI MT,5.25 Lakhs,Delhi,"52,023 Kms",Petrol,Sedan,2nd Owner
2020,Honda,CITY VX MT PETROL,14 Lakhs,Delhi,"1,942 Kms",Petrol,Sedan,1st Owner
2015,Hyundai,I10 SPORTZ 1.1 IRDE2,3.2 Lakhs,Delhi,"71,822 Kms",Petrol,Hatchback,1st Owner
2014,Honda,CITY VX CVT PETROL,6.75 Lakhs,Delhi,"74,568 Kms",Petrol,Sedan,1st Owner
2018,Ford,ECOSPORT TREND + 1.5...,8.5 Lakhs,Delhi,"77,642 Kms",Petrol,SUV,1st Owner
2017,Maruti Suzuki,SWIFT DZIRE VXI,6.15 Lakhs,Gurgaon,"14,118 Kms",Petrol,Sedan,1st Owner
2016,Hyundai,GRAND I10 SPORTZ AT ...,6 Lakhs,Delhi,"32,031 Kms",Petrol  CNG Kit,Hatchback,1st Owner
2018,Jeep,COMPASS LIMITED O 1....,18 Lakhs,Delhi,"29,948 Kms",Petrol,SUV,1st Owner
2018,Datsun,REDI GO GOLD LIMITED...,3.75 Lakhs,Noida,"14,000 Kms",Petrol,Hatchback,1st Owner
2017,Volkswagen,POLO HIGHLINE 1.2L P,6.31 Lakhs,Noida,"22,788 Kms",Petrol,Hatchback,1st Owner
2017,Volkswagen,POLO HIGHLINE 1.2L P,6.31 Lakhs,Noida,"22,000 Kms",Petrol,Hatchback,1st Owner
2016,Mahindra,XUV 500 W10,10.95 Lakhs,Noida,"39,749 Kms",Diesel,SUV,1st Owner
2016,Mahindra,XUV500(2015_2017) W1...,10.95 Lakhs,Noida,"38,000 Kms",Diesel,SUV,1st Owner
2016,Honda,AMAZE 1.2 SMT I VTEC,4.9 Lakhs,Delhi,"32,960 Kms",Petrol,Sedan,1st Owner
2015,Maruti Suzuki,SWIFT DZIRE VXI,4.75 Lakhs,Noida,"43,000 Kms",Petrol,Sedan,1st Owner
2018,Maruti Suzuki,VITARA BREZZA VDI,6.8 Lakhs,Faridabad,"65,545 Kms",Diesel,Hatchback,1st Owner
2017,Honda,BRIO S MT,4.3 Lakhs,Faridabad,"38,000 Kms",Petrol,Hatchback,1st Owner
2016,Maruti Suzuki,CELERIO VXI AMT,4.15 Lakhs,Faridabad,"32,966 Kms",Petrol,Saloon,1st Owner
2011,Maruti Suzuki,ALTO K10 VXI,1.95 Lakhs,Faridabad,"56,080 Kms",Petrol,Hatchback,1st Owner
2017,Honda,WR V S MT PETROL,5.85 Lakhs,Delhi,"26,000 Kms",Petrol,SUV,1st Owner
2017,Ford,ASPIRE TITANIUM 1.2 ...,5.5 Lakhs,Faridabad,"42,131 Kms",Petrol,Sedan,1st Owner
2017,Hyundai,VERNA 1.6 CRDI S,9 Lakhs,Gurgaon,"55,000 Kms",Diesel,Sedan,1st Owner
2015,Maruti Suzuki,SWIFT DZIRE VXI,4.75 Lakhs,Noida,"43,549 Kms",Petrol,Sedan,1st Owner
2013,Hyundai,I20 ASTA 1.2,3.25 Lakhs,Gurgaon,"8,000 Kms",Petrol,Hatchback,1st Owner
2012,Honda,BRIO S MT,5.85 Lakhs,Delhi,"34,055 Kms",Petrol,Hatchback,1st Owner
2011,Maruti Suzuki,ALTO K10 VXI,1.95 Lakhs,Faridabad,"56,080 Kms",Petrol,Hatchback,1st Owner
