Year of Car,Make of car,Model,Price of car,Location of car,Kilometers,Diesel/Petrol,Body-type,Owner
2010,Chevrolet,BEAT LS PETROL,1.85 Lakhs,Faridabad,"40,312 Kms",Petrol,Hatchback,1st Owner
2009,Maruti Suzuki,SX4 VXI,2.35 Lakhs,Delhi,"73,246 Kms",Petrol,Sedan,2nd Owner
2011,Hyundai,I10 MAGNA 1.2,2.35 Lakhs,Gurgaon,"79,862 Kms",Petrol,Hatchback,1st Owner
2011,Tata,INDICA VISTA AQUA TD...,"45,000",Faridabad,1.22 Lakhs Kms,Diesel,Hatchback,1st Owner
2006,Honda,CITY ZX EXI,"85,000",Faridabad,"83,000 Kms",Petrol,Sedan,1st Owner
2011,Hyundai,I20 ASTA 1.2,2.75 Lakhs,Delhi,"68,174 Kms",Petrol,Hatchback,3rd Owner
2010,Honda,CITY 1.5 V MT,3.8 Lakhs,Gurgaon,"96,487 Kms",Petrol,Sedan,2nd Owner
2013,Mercedes Benz,E CLASS E 220 CDI SP...,10.95 Lakhs,Gurgaon,"73,000 Kms",Diesel,Sedan,2nd Owner
2011,Land Rover,FREELANDER 2 STERLIN...,12.95 Lakhs,Gurgaon,"71,000 Kms",Diesel,SUV,2nd Owner
2011,Hyundai,SANTRO XING GL,2.1 Lakhs,Gurgaon,"54,850 Kms",Petrol,Hatchback,1st Owner
2017,Honda,JAZZ S,5.25 Lakhs,Faridabad,"57,000 Kms",Petrol,Hatchback,1st Owner
2011,Chevrolet,CRUZE LT,3 Lakhs,Ghaziabad,"55,982 Kms",Diesel,Sedan,1st Owner
2017,Mahindra,SCORPIO S10 4WD,11.5 Lakhs,Ghaziabad,"58,000 Kms",Diesel,SUV,1st Owner
2013,Hyundai,I20 SPORTZ 1.2 O,3.35 Lakhs,Noida,1.11 Lakhs Kms,Petrol,Hatchback,1st Owner
2010,Maruti Suzuki,WAGON R LXI MINOR,1.78 Lakhs,Gurgaon,"79,230 Kms",Petrol,Hatchback,1st Owner
2015,Toyota,COROLLA ALTIS 1.8 VL...,9.85 Lakhs,Delhi,"71,000 Kms",Petrol,Sedan,1st Owner
